[2025-05-14 14:29:43.457] DEBUG   (proxy.go:465)   X-Causation-Id: a8f700b3-0a49-46ef-b426-47c7b522dc41
[2025-05-14 14:29:43.456] DEBUG   (proxy.go:465)   Vary: Origin
[2025-05-14 14:29:43.455] DEBUG   (proxy.go:465)   Access-Control-Expose-Headers: X-Correlation-Id
[2025-05-14 14:29:43.453] DEBUG   (proxy.go:465)   Access-Control-Allow-Origin: http://192.168.1.77:8100
[2025-05-14 14:29:43.452] DEBUG   (proxy.go:465)   Access-Control-Allow-Credentials: true
[2025-05-14 14:29:43.451] DEBUG   (proxy.go:465)   Alt-Svc: h3=":443"; ma=86400
[2025-05-14 14:29:43.450] DEBUG   (proxy.go:465)   Content-Encoding: gzip
[2025-05-14 14:29:43.448] DEBUG   (proxy.go:465)   X-Organization: koho
[2025-05-14 14:29:43.447] DEBUG   (proxy.go:465)   Content-Type: application/json; charset=UTF-8
[2025-05-14 14:29:43.446] DEBUG   (proxy.go:465)   Date: Wed, 14 May 2025 18:29:43 GMT
[2025-05-14 14:29:43.445] DEBUG   (proxy.go:465)   X-Content-Type-Options: nosniff
[2025-05-14 14:29:43.443] DEBUG   (proxy.go:465)   X-Correlation-Id: a8f700b3-0a49-46ef-b426-47c7b522dc41
[2025-05-14 14:29:43.443] DEBUG   (proxy.go:465)   Cf-Ray: 93fc766c2cd8a20e-YYZ
[2025-05-14 14:29:43.442] DEBUG   (proxy.go:465)   Cf-Cache-Status: DYNAMIC
[2025-05-14 14:29:43.439] DEBUG   (proxy.go:465)   Server: cloudflare
[2025-05-14 14:29:43.438] DEBUG   (proxy.go:462) Headers received from server:
[2025-05-14 14:29:43.437] DEBUG   (proxy.go:465)   X-Content-Type-Options: nosniff
[2025-05-14 14:29:43.436] DEBUG   (proxy.go:465)   X-Correlation-Id: a8f700b3-0a49-46ef-b426-47c7b522dc41
[2025-05-14 14:29:43.435] DEBUG   (proxy.go:465)   Cf-Ray: 93fc766c2cd8a20e-YYZ
[2025-05-14 14:29:43.434] DEBUG   (proxy.go:465)   Cf-Cache-Status: DYNAMIC
[2025-05-14 14:29:43.433] DEBUG   (proxy.go:465)   Server: cloudflare
[2025-05-14 14:29:43.432] DEBUG   (proxy.go:465)   Strict-Transport-Security: max-age=15552000; includeSubDomains; preload
[2025-05-14 14:29:43.431] DEBUG   (proxy.go:465)   X-Causation-Id: a8f700b3-0a49-46ef-b426-47c7b522dc41
[2025-05-14 14:29:43.430] DEBUG   (proxy.go:465)   Vary: Origin
[2025-05-14 14:29:43.429] DEBUG   (proxy.go:465)   Access-Control-Expose-Headers: X-Correlation-Id
[2025-05-14 14:29:43.428] DEBUG   (proxy.go:465)   Access-Control-Allow-Origin: http://192.168.1.77:8100
[2025-05-14 14:29:43.428] DEBUG   (proxy.go:465)   Access-Control-Allow-Credentials: true
[2025-05-14 14:29:43.426] DEBUG   (proxy.go:465)   Alt-Svc: h3=":443"; ma=86400
[2025-05-14 14:29:43.425] DEBUG   (proxy.go:465)   Content-Encoding: gzip
[2025-05-14 14:29:43.424] DEBUG   (proxy.go:465)   X-Organization: koho
[2025-05-14 14:29:43.423] DEBUG   (proxy.go:465)   Content-Type: application/json; charset=UTF-8
[2025-05-14 14:29:43.423] DEBUG   (proxy.go:465)   Date: Wed, 14 May 2025 18:29:43 GMT
[2025-05-14 14:29:43.421] DEBUG   (proxy.go:462) Headers received from server:
[2025-05-14 14:29:43.420] DEBUG   (proxy.go:465)   Strict-Transport-Security: max-age=15552000; includeSubDomains; preload
[2025-05-14 14:29:43.419] DEBUG   (proxy.go:465)   X-Causation-Id: a8f700b3-0a49-46ef-b426-47c7b522dc41
[2025-05-14 14:29:43.418] DEBUG   (proxy.go:465)   Vary: Origin
[2025-05-14 14:29:43.414] DEBUG   (proxy.go:465)   Access-Control-Expose-Headers: X-Correlation-Id
[2025-05-14 14:29:43.413] DEBUG   (proxy.go:465)   Access-Control-Allow-Origin: http://192.168.1.77:8100
[2025-05-14 14:29:43.411] DEBUG   (proxy.go:465)   Access-Control-Allow-Credentials: true
[2025-05-14 14:29:43.410] DEBUG   (proxy.go:465)   Alt-Svc: h3=":443"; ma=86400
[2025-05-14 14:29:43.409] DEBUG   (proxy.go:465)   Content-Encoding: gzip
[2025-05-14 14:29:43.409] DEBUG   (proxy.go:465)   X-Organization: koho
[2025-05-14 14:29:43.408] DEBUG   (proxy.go:465)   Content-Type: application/json; charset=UTF-8
[2025-05-14 14:29:43.407] DEBUG   (proxy.go:465)   Date: Wed, 14 May 2025 18:29:43 GMT
[2025-05-14 14:29:43.406] DEBUG   (proxy.go:465)   X-Content-Type-Options: nosniff
[2025-05-14 14:29:43.405] DEBUG   (proxy.go:465)   X-Correlation-Id: a8f700b3-0a49-46ef-b426-47c7b522dc41
[2025-05-14 14:29:43.404] DEBUG   (proxy.go:465)   Cf-Ray: 93fc766c2cd8a20e-YYZ
[2025-05-14 14:29:43.403] DEBUG   (proxy.go:465)   Cf-Cache-Status: DYNAMIC
[2025-05-14 14:29:43.402] DEBUG   (proxy.go:465)   Server: cloudflare
